artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
BURNOUT SYNDROMES,Japan,no data,2005,activo
Ronnie Dunn,United States,Coleman,1953-06-01,activo
Crystal Lake,Japan,Tokyo,2002,activo
Of Monsters and Men,Iceland,Keflavík,2010,activo
Hollywood Undead,United States,Hollywood,2005,activo
Mustard Service,Miami,Miami,2017-06-17,activo
Siddhartha,Mexico,Guadalajara,1990-08-25,activo
Sensi,Oslo,no data,no data,activo
Foster the People,United States,Los Angeles,2009-10,activo
Chris Cornell,United States,Seattle,1964-07-20,activo
twenty one pilots,United States,Columbus,2009,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Two Feet,United States,Manhattan,1993-06-20,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Cody Jinks,no data,no data,1980-08-18,activo
Momma,Los Angeles,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Jason Isbell and the 400 Unit,United States,Muscle Shoals,2009,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Local Natives,United States,Silver Lake,2003,activo
grandson,Canada,Englewood,1993-10-25,activo
Annabelle Chairlegs,no data,no data,no data,activo
Elvis Presley,United States,Tupelo,1935-01-08,activo
Rebounder,no data,New York,2018,activo
