canciones,artistas,género,tipo,año lanzamiento
Skin,Spacey Jane,Rock,track,2020
God Who Listens (feat. Thomas Rhett),Chris Tomlin,Rock,track,2020
That’s Why I Love Dirt Roads,Granger Smith,Rock,track,2020
"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club,Rock,track,2020
This is Us,Jimmie Allen,Rock,track,2020
decide to be happy,MisterWives,Rock,track,2020
Tabasco & Sweet Tea,The Cadillac Three,Rock,track,2020
Fast And Slow,The Elovaters,Rock,track,2020
Ripple - 2020 Remaster,Grateful Dead,Rock,track,2020
Bar Downtown,Jon Pardi,Rock,track,2020
Hard Days,Brantley Gilbert,Rock,track,2020
Good for You,Spacey Jane,Rock,track,2020
Jesus Is Coming Back (feat. Mandisa & Jonathan Traylor),Jordan Feliz,Rock,track,2020
Winter,SE SO NEON,Rock,track,2020
Sympathy For The Devil,Guns N' Roses,Rock,track,2020
The Devil Went Down to Georgia,Korn,Rock,track,2020
Caving In,Sensi Trails,Rock,track,2020
Hard Out Here For A Country Boy,The Cadillac Three,Rock,track,2020
Paranoia on Main Street,Demi the Daredevil,Rock,track,2020
We Will Always Love You,The Avalanches,Rock,track,2020
I'm Not Getting Excited,The Beths,Rock,track,2020
Atomic Dog World Tour Remix,Parliament,Rock,track,2020
Down at the Lah De Dah,Jimmy Buffett,Rock,track,2020
Prop Me Up Beside The Jukebox (If I Die),Jon Pardi,Rock,track,2020
Relay,Fiona Apple,Rock,track,2020
The Blessing - Radio Version,Kari Jobe,Rock,track,2020
Calico Skies - 2020 Remaster,Paul McCartney,Rock,track,2020
"New World (with Matisyahu, Bumpin Uglies, & The Elovaters)",Tropidelic,Rock,track,2020
Draw Me Close,Shane & Shane,Rock,track,2020
First Love - Live,Kari Jobe,Rock,track,2020
Fast Lane,Cody Jinks,Rock,track,2020
Ven y Lléname,Generación 12,Rock,track,2020
New Today,Micah Tyler,Rock,track,2020
Biohazard,Momma,Rock,track,2020
I Love My Country,Florida Georgia Line,Rock,track,2020
Likewise,RAT BOY,Rock,track,2020
This is Our Life,Des Rocs,Rock,track,2020
End Summer,Goth Babe,Rock,track,2020
Sunblind,Fleet Foxes,Rock,track,2020
Then Again,Mitch Rossell,Rock,track,2020
"god save me, but don't drown me out",YUNGBLUD,Rock,track,2020
Hang on to Yourself,Palaye Royale,Rock,track,2020
Can You Hear Me Now,The Score,Rock,track,2020
I Want More,KALEO,Rock,track,2020
Impulse Voices,Plini,Rock,track,2020
Pompeji,Deftones,Rock,track,2020
WWIII,grandson,Rock,track,2020
JUDGEMENT NIGHT,HEALTH,Rock,track,2020
Skeletons,Brothers Osborne,Rock,track,2020
Glorify,Jordan Feliz,Rock,track,2020
I Don't Belong,Fontaines D.C.,Rock,track,2020
Impossible,Nothing But Thieves,Rock,track,2020
Circle The Drain,Machine Head,Rock,track,2020
Death of Me,SAINT PHNX,Rock,track,2020
Blue,NewDad,Rock,track,2020
Me Hace Falta (Cap. 2),Siddhartha,Rock,track,2020
Requiem,Blitzen Trapper,Rock,track,2020
All Night,Brothers Osborne,Rock,track,2020
Watch Me Burn,Crystal Lake,Rock,track,2020
Black Bottle,Brent Cobb,Rock,track,2020
PDLIF,Bon Iver,Rock,track,2020
Lord I Lift Your Name on High,Shane & Shane,Rock,track,2020
Wasteland,Seether,Rock,track,2020
Let It All Out,The Elovaters,Rock,track,2020
Middle of Somewhere,The Neighbourhood,Rock,track,2020
Candy Apple Red,Annabelle Chairlegs,Rock,track,2020
Then Because She Goes,The 1975,Rock,track,2020
Bruised And Bloodied,Seether,Rock,track,2020
BODY/PRISON,HEALTH,Rock,track,2020
Lemonade (with Denzel Curry),YUNGBLUD,Rock,track,2020
Dirty,grandson,Rock,track,2020
Teach Me Tonight,James Taylor,Rock,track,2020
Turn Your Eyes Upon Jesus (Acoustic),Shane & Shane,Rock,track,2020
The Lost Chord (feat. Leee John),Gorillaz,Rock,track,2020
Burn It Down,Silverstein,Rock,track,2020
Flowers On A Grave,Bush,Rock,track,2020
