artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Neil Young,Canada,Toronto,1945,activo
Hyper,United Kingdom,no data,no data,activo
Carl Perkins,United States,Tiptonville,1932,activo
Leon Russell,United States,Lawton,1942,activo
Wallows,Los Angeles,Los Angeles,2017,activo
FMSAO,no data,no data,no data,activo
Panic! at the Disco,United States,Las Vegas,2004,activo
no data,no data,no data,no data,no data
Charli xcx,England,Cambridge,1992,activo
SVRCINA,Detroit,Detroit,1996,activo
Emma,Italy,Firenze,1984,activo
The Fuxx,Tartu,Viljandi,no data,activo
Rahul Dev Burman,India,Kolkata,1939,activo
Flyana Boss,Los Angeles,no data,no data,activo
Ella Fitzgerald,United States,Newport News,1917,activo
Teeel,United States,no data,no data,activo
RAYE,United Kingdom,Tooting,1997,activo
Miles Davis,United States,Alton,1926,activo
Clean Bandit,United Kingdom,Cambridge,2008,activo
YDKM,no data,no data,no data,activo
Talk Talk,United Kingdom,London,1981,activo
Galantis,Sweden,Stockholm,2012,activo
Janelle Monáe,United States,Kansas City,1985,activo
Three Beat Slide,United States,no data,no data,activo
Breathe Carolina,United States,Denver,2007,activo
Bella Poarch,United States,Pangasinan,1997,activo
Rae Sremmurd,United States,Tupelo,2013,activo
Kiesza,Canada,Calgary,1989,activo
Banx & Ranx,Canada,Montréal,2014,activo
Lou Reed,United States,Brooklyn,1942,activo
Melanie Martinez,United States,Astoria,1995,activo
Havva,United Kingdom,no data,no data,activo
Room 208,San Francisco,no data,no data,activo
