Artista,Biografia,Listeners,Playcount,Artistas Similares
Crazy Baldhead,"Agent Jay of the Slackers started Crazy Baldhead, a skinhead-Reggae & Rocksteady band in 1997. The long-awaited release of Crazy Baldehead Has a Posse in 2006 marked the kick-off for his side project. 2 years later, the Sound of '69 hit the stores.

Has a Posse was recorded between 1997 and 2004, and features such artists as Victor Rice, Victor Ruggiero, King Django, Rocker T, Eddie Ocampo and Buford O'Sullivan (in addition to Agent Jay of course), <a href=""https://www.last.fm/music/Crazy+Baldhead"">Read more on Last.fm</a>",4601,43805,Stubborn All-Stars
La Mosca Tse-Tse," <a href=""https://www.last.fm/music/+noredirect/La+Mosca+Tse-Tse"">Read more on Last.fm</a>",112739,1137512,
The Aquabats!,"The Aquabats are a musical ensemble from Huntington Beach, California formed in 1994 known for their humorous lyrics and outrageous live shows, during which the band is often attacked by supervillains onstage.

Starting as a parody of the booming third-wave ska scene in Southern California (their first show, reportedly, was played with fourteen members, at least half of which were wielding horns), The Aquabats played third-wave ska with a surfy, b-movie-esque <a href=""https://www.last.fm/music/+noredirect/The+Aquabats%21"">Read more on Last.fm</a>",81903,1651521,
Bersuit Vergarabat,"Bersuit Vergarabat, formed in 1989 in Buenos Aires, Argentina, is one of the most important Argentine rock bands of the 1990s/2000s.

After 2 albums of underground transgressive rock, the band started mixing it with Latin American rhythms such a cumbia, chacarera, candombe and cuartetazo. The lyrics, though, remained acid and critical of political and social problems.

The current line-up is: Gustavo Cordera (voice), Juan Subirá (keyboards and voice) <a href=""https://www.last.fm/music/Bersuit+Vergarabat"">Read more on Last.fm</a>",215546,4588567,Los Piojos
The Bandulus,"The Bandulus came to life in the early summer of 2008. Playing the elegant sounds of traditional ska, reggae, and rocksteady, the Bandulus have already been noticed and are recording a debut record slated for the fall of 2009. Though they only have a few shows under their belt, they have already opened for The Skatalites and The Aggrolites.  <a href=""https://www.last.fm/music/The+Bandulus"">Read more on Last.fm</a>",978,15969,Matamoska!
Adhesivo,"Punk/Ska band from El Salvador, visit http://www.myspace.com/adhesivoska for more information <a href=""https://www.last.fm/music/Adhesivo"">Read more on Last.fm</a>",2105,30162,Anastasio y los del Monte
The Ethiopians,"The Ethiopians are a reggae, rocksteady, and ska vocalgroup, founded by Leonard Dillon, Stephen Taylor and Aston Morris, that started recording for Clement 'Coxsone' Dodd in 1966. Leonard Dillon had previously released some mento songs under the name Jack Sparrow. Around late 1966 Aston Morris left the Ethiopians.

Having left Coxsone the Ethiopians started recording at Dynamic Studios for the W.I.R.L. label releasing one of the all-time ska classics, the exhuberant 'Train to Skaville', which was their first success. <a href=""https://www.last.fm/music/The+Ethiopians"">Read more on Last.fm</a>",231306,1616817,The Pioneers
The Gritty End," <a href=""https://www.last.fm/music/The+Gritty+End"">Read more on Last.fm</a>",261,3048,The Quaranteds
Derrick Morgan,"Derrick Morgan (27 March 1940) is a Jamaican ska, rocksteady and reggae singer. 

Born in Stewarton, in the parish of Clarendon, Jamaica, Derrick Morgan entered in 1957 the Vere Johns Opportunity Hour, a talent show held at the Palace Theatre in Kingston. He won with rousing impressions of Little Richard and, shortly after that, was recruited to perform around the island with the popular Jamaican comedy team Bim and Bam. In 1959 Morgan entered the recording studio for the first time. <a href=""https://www.last.fm/music/Derrick+Morgan"">Read more on Last.fm</a>",145884,1151031,The Techniques
Alton Ellis,"Alton Nehemiah Ellis OD (1 September 1938 – 10 October 2008) was a Jamaican singer and songwriter. One of the innovators of rocksteady who was given the informal title ""Godfather of Rocksteady"". In 2004, Alton Ellis was awarded the Order of Distinction by the Jamaican government in recognition of his achievements. In 2006, he was inducted into the International Reggae And World Music Awards Hall Of Fame. 

Born in Trenchtown, Kingston, Jamaica, Alton Ellis was raised within a musical family and learned to play the piano at a young age. <a href=""https://www.last.fm/music/Alton+Ellis"">Read more on Last.fm</a>",258750,2846166,The Heptones
Tequila & The Sunrise Gang,"Tequila & The Sunrise Gang is a band (8 musicians) from Kiel, Germany. They write songs with a mix of reggae, rock, ska and punk. They have already published 2 disks: ""A Four Leaved Clover In A Freezing Compartment"" (2004) and the new disk ""Motion Picture Soundtrack "" (2006).
Tequila & The Sunrise Gang are very popular in the north of Germany. They are a typical live-party band. <a href=""https://www.last.fm/music/Tequila+&+The+Sunrise+Gang"">Read more on Last.fm</a>",6968,113692,Tequila and the Sunrise Gang
Face to Face,"There are at least four artists named Face To Face:

1) Face to Face is a punk rock band from California. Formed in 1991, the group was initially signed by Dr. Strange Records, later moving to Fat Wreck Chords. Their first big hit ""Disconnected"" was played by KROQ and appeared in the movies Tank Girl and National Lampoon's Senior Class Trip. Their song ""Devil You Know (God is a Man)"" appeared in an episode of Buffy the Vampire Slayer (Season 1) and on the accompanying series soundtrack album. <a href=""https://www.last.fm/music/Face+to+Face"">Read more on Last.fm</a>",299818,6209506,Lagwagon
The Menzingers,"The Menzingers originally formed after the dissolution of Bob And The Sagets, a band local to the Scranton/Wilkes-Barre area of Pennsylvania. With the addition of Greg Barnett the band recorded a demo/self-released album ""A Lesson In The Abuse Of Information Technology"" in 2006.

Shortly thereafter they were signed by Go-Kart Records and re-recorded the songs from ""A Lesson"" and re-released their album with the addition of some new tracks.

At the Fest VII in Gainesville <a href=""https://www.last.fm/music/The+Menzingers"">Read more on Last.fm</a>",233414,15282594,Spanish Love Songs
Kameleba,"La génesis de esta banda de roots reggae se remonta al año 2000. Es en la ciudad de Villa Mercedes, San Luis en donde un trío de amigos (Loli Folch, Sergio Barroso y Fabri Mena) comienza a hacer canción su gran pasión por los ritmos jamaicanos. Ya en el 2001 la agrupación hace su debut en su ciudad natal en un acto recordatorio a los desaparecidos de la dictadura de años setenta.

En ese mismo año el grupo es convocado a participar en el "" festival nacional de la gorra "" <a href=""https://www.last.fm/music/Kameleba"">Read more on Last.fm</a>",17983,247555,Riddim
Western Standard Time Ska Orchestra," <a href=""https://www.last.fm/music/Western+Standard+Time+Ska+Orchestra"">Read more on Last.fm</a>",1779,19087,The Steady 45's
panteon rococo," <a href=""https://www.last.fm/music/+noredirect/panteon+rococo"">Read more on Last.fm</a>",48565,967753,
Rico Rodriguez,"Emmanuel ""Rico"" Rodriguez MBE (17 October 1934 – 4 September 2015), also known as simply Rico, Reco or El Reco, was a Cuban-born Jamaican ska and reggae trombonist. He recorded with many producers, including Karl Pitterson, Prince Buster, and Lloyd ""Matador"" Daley. He was known as one of the first and most distinguished ska artists, and from the early 1960s performed and recorded in Britain, with the Specials, Jools Holland,Paul Young, and others. <a href=""https://www.last.fm/music/Rico+Rodriguez"">Read more on Last.fm</a>",28905,207281,The Skatalites
OMNIGONE,"OMNIGONE is Adam Davis (LINK 80, DESA, GNARBOOTS) with a rotating line-up of ex-bandmates & close friends. <a href=""https://www.last.fm/music/OMNIGONE"">Read more on Last.fm</a>",4448,83436,JOYstick!
The Holophonics,"Eric Daino - Vocals, Guitar, Organ
Harrell Petersen - Vocals, Trumpet
Shane Robert Reider - Trombone
Tyler Waguespack - Bass
Will Huebner - Drums
Brian Handeland - Saxophones 

We play all the songs you love and all the songs you hate! Because every song sounds better as Ska and we intend to make you skank all night long! <a href=""https://www.last.fm/music/The+Holophonics"">Read more on Last.fm</a>",10956,171997,The Planet Smashers
The Distillers,"The Distillers is an American punk rock band formed in Los Angeles, California in 1998. They released their first two albums on Hellcat Records/Epitaph Records before moving to Sire, part of the Warner Music Group. The Distillers are originally formed by Australian-born Brody Dalle. As lead singer, she adopted a signature harsh singing voice. Although there were constant line-up changes, Brody consistently played the guitar, sang, and wrote or co-wrote nearly every song on all the band's albums. <a href=""https://www.last.fm/music/The+Distillers"">Read more on Last.fm</a>",601975,17419881,Brody Dalle
Desmond Dekker,"Desmond Dekker (born in Kingston, Jamaica on 16 July 1941 - deceased 25 May 2006), was a Jamaican ska and reggae singer and songwriter. Together with his backing group, The Aces (consisting of Wilson James and Easton Barrington Howard), he had the first international Jamaican hit, Israelites. Other hits include 007 (Shanty Town) (1967) and It Mek (1968). Before the ascent of Bob Marley, Dekker was the best-known Jamaican musician outside of his country, and one of the most popular within it. <a href=""https://www.last.fm/music/Desmond+Dekker"">Read more on Last.fm</a>",457440,4817115,Derrick Morgan
Inspector,"There are 2 bands with this name:

1. Mexican ska revival ensemble Inspector comprises singer Javier Sánchez aka Big Javi, drummer David Martínez aka Tribi, bassist Arnoldo Ortega aka Lolo, sax players Jaime González aka Jimmy and Jesús Arriaga aka Padrino, guitarist Alejandro Ortega aka Güero, keyboardist Homero Ontiveros aka Marango and trumpeter Jesús Lemo. The band debuted in 1995 with the independently produced Misión Ska, featuring five original songs. <a href=""https://www.last.fm/music/Inspector"">Read more on Last.fm</a>",109093,1655016,Panteón Rococó
Riskee & The Ridicule," <a href=""https://www.last.fm/music/Riskee+&+The+Ridicule"">Read more on Last.fm</a>",6583,98669,The Bar Stool Preachers
