Artista,Biografia,Listeners,Playcount,Artistas Similares
We Came As Romans,"We Came as Romans (often abbreviated as WCAR) is an American metalcore band from Troy, Michigan. Formed in 2005, the band has undergone one name change and multiple line-up changes. In 2016, they signed with SharpTone Records after being part of the Equal Vision Records roster since 2009.

The band has released six studio albums:
To Plant a Seed (2009)
Understanding What We've Grown to Be (2011)
Tracing Back Roots (2013)
We Came as Romans (2015)
Cold Like War (2017) <a href=""https://www.last.fm/music/We+Came+As+Romans"">Read more on Last.fm</a>",706648,22428025,
Stone Broken,"Stone Broken are a 4-piece hard rock band from Walsall, UK.
Formed in late 2013 from the fragments of 2 local bands, Rich, Kieron, Chris & Robyn, have formed a dynamic outfit that delivers a BIG chunky rock sound with huge choruses.
 
They self-released their debut EP – The Crow Flies – in 2014, with the video for Let Me Go achieving cult status in the UK with over 20,000 plays.
 Stone Broken signed a management deal with Peter Keevil of TMR Band Management in October 2015. <a href=""https://www.last.fm/music/Stone+Broken"">Read more on Last.fm</a>",17758,183653,Those Damn Crows
Tungsten,"TUNGSTEN could refer to a number of different artists:

Tungsten is a Swedish power metal band formed by ex-HammerFall drummer Anders Johansson and his two sons.

Anders founded the band in 2016, together with his son Nick and Karl Johansson. The idea for creating a band together arose, after Anders listened to metal music that his sons created, which he enjoyed, eventually leading into the bands formation.Tungsten was later joined by Swedish vocalist Mike Andersson, following which the recording of their first album started. <a href=""https://www.last.fm/music/Tungsten"">Read more on Last.fm</a>",31481,549317,Bloodbound
Honour Crest,"With fast paced beats and an electronica-hardcore hybrid that blends seamlessly, Honour Crest creates a new epic sound that is unmistakably their own.

https://www.facebook.com/honourcrest

debut album 'Spilled Ink' coming Dec 10th 2013 through Rise Records. <a href=""https://www.last.fm/music/Honour+Crest"">Read more on Last.fm</a>",7113,112273,City in the Sea
The Animal In Me,"The Animal In Me's single ""I Created A Monster"" have been receiving warm reviews from fans and critics alike.Armed with a fresh take on a genre that is over saturated with cookie-cutter bands, fans are demanding and eager for the release of TAIM's debut EP produced by Tom Denney (A Day To Remember/Secrets /For The Fallen Dreams) at Diamond Studios in Ocala, Florida.
 
The band gained serious momentum in the summer of 2012. Outerloop Management and <a href=""https://www.last.fm/music/The+Animal+In+Me"">Read more on Last.fm</a>",68055,1383350,"Whether, I"
Before You Fall,"Before You Fall was post-hardcore band from Auburn/Sacramento, California, United States.

Members:
Justin Haskin - Vocals
Jesse Wright - Guitar/Programming/Vocals
Aaron Pauline - Guitar/Vocals
Ty Retallack - Bass
Calvin Kelley - Drums/Clean Vocals (Died at the age of 21 / Rest In Peace)
Jake Drummond - Bass

facebook.com/beforeyoufallmusic
myspace.com/beforeyoufall
beforeyoufall.bandcamp.com

2010-2015

Before You Fall
8 December 2015  · 
A little <a href=""https://www.last.fm/music/Before+You+Fall"">Read more on Last.fm</a>",5709,58157,Above the Broken
Sentinels,"There are at least  two bands with the name of Sentinels: 
1) Sentinels makes music inspired by a decade of listening to the London pirate radio waves. Operating outside of the confines of any particular genre, but inspired by UK Garage, House and soulful Funky, Hardcore and Dubstep. He hates souless wobble music.

2) Sentinels is a 4-piece Progressive Metalcore / Djent band from Somerset - New Jersey. Members: Kenny Stroh – Vocals, Chris Dombrowski – Guitars, Danny Cruz – Bass, Dave Rucki – Drums. <a href=""https://www.last.fm/music/Sentinels"">Read more on Last.fm</a>",25510,383291,Reflections
Gatsbys American Dream,"Gatsbys American Dream is a seattle-based rock band. Since their founding in 2002, they have written four albums with a fifth in the works. They have also appeared on a few compilations with original songs and covers. Gatsbys American Dream gets their name from The Great Gatsby, a book written by F. Scott Fitzgerald. Although it’s widely agreed the band is hard to classify into one subgenre, it can be said they draw influence from alternative pop/rock, indie pop, indie rock, post-hardcore, and punk-pop. <a href=""https://www.last.fm/music/+noredirect/Gatsbys+American+Dream"">Read more on Last.fm</a>",9450,151672,
Hull,"There are two artists with the name Hull:

1) Brooklyn based quintet Hull creates a crushing progressive sludge as if a heavier, more grimy blend of Baroness, Neurosis/Cult of Luna and Mastodon.  They inject a fusion of metal, progressive rock and post metal into the veins of their doom breathing creation in order to amass a mutated beast that is like nothing else out there.

A.Mack 
J.Stieber 
C.LaiettaV 
N.Palmirotto
S.B.Dunn 

Hulls first self released EP <a href=""https://www.last.fm/music/Hull"">Read more on Last.fm</a>",6267,67670,Batillus
Gus Dapperton,"
Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>",530832,11260519,Dayglow
Over,"Three bands use that name.

1) Over is a four piece post-punk/anarcho-punk/death rock band based out of Portland, Oregon. Over started in October 2016 in the age of creeping fascism with Lillian Void (Smoke Rings, Useless Eaters, Broken Spirit) and Justin Cory (Usnea, 1919) and quickly picked up members Andrew Grosse (Caravan Recordings, Billions and Billions) and Ruby Monet by December. Collective influences range from Doom to Shoegaze to Punk, with our most salient roots being in Anarcho-Punk and Post-Punk <a href=""https://www.last.fm/music/Over"">Read more on Last.fm</a>",6804,45894,Batboner
