Artista,Biografia,Listeners,Playcount,Artistas Similares
Kaiserdisco,"German techno duo Kaiserdisco is making waves in the international electronic music scene with their unique blend of energetic beats and infectious melodies. Comprised of Frederic Berger and Patrick Buck, the duo has released a string of successful tracks on renowned labels such as Drumcode, Suara, and Tronic, among others.

With over a decade of experience, Kaiserdisco has become known for their dynamic DJ sets and productions that seamlessly fuse classic techno sounds with modern elements. <a href=""https://www.last.fm/music/Kaiserdisco"">Read more on Last.fm</a>",60243,318773,Gary Beck
DJ Clea," <a href=""https://www.last.fm/music/DJ+Clea"">Read more on Last.fm</a>",7603,22620,
TLIM SHUG," <a href=""https://www.last.fm/music/TLIM+SHUG"">Read more on Last.fm</a>",28677,167330,Tom Vernon
Kolter,"Kolter is the breakbeat alias of Johannes Kolter, DJ and producer from Cologne, Germany.
Formerly went by the name Djoko. <a href=""https://www.last.fm/music/Kolter"">Read more on Last.fm</a>",26491,188090,Darius
Head High,"Head High is an alias of German techno producer René Pawlowitz (best known as Shed). As Head High he has multiple 12-inches on his own Power House imprint and has remixed Martyn, 2562, Moderat, and Joy Orbison.

Head High is also the name of a hardcore band from southern California. <a href=""https://www.last.fm/music/Head+High"">Read more on Last.fm</a>",21409,135321,Shed
RINZEN,"California born and raised, Rinzen uncovered an interest in music and music-making as many young kids do, soundtracking college parties, dabbling in production in his down time and also balancing a career as a music journalist. With a wide breadth of understanding for the ongoing EDM boom happening Stateside, a timely trip to Europe exposed him to booming techno sounds and underground world of Richie Hawtin and Marco Carola. He returned with a refreshed palette <a href=""https://www.last.fm/music/RINZEN"">Read more on Last.fm</a>",19199,99980,Ocula
Kant,"Kant was an Latvian alternative metal band from Ogre, Latvia. The band, which was founded in 2000, consisted of Jānis Vītoliņš (vocals), Mareks Ezerkalns (guitars and keyboards), Jānis Rakvičs (guitars), Oskars Lelis (bass) and Mareks Kaminskis (drums).

The band's debut EP Impresija 7 was released in 2003, they broke up shortly after in 2004.

http://kant.times.lv <a href=""https://www.last.fm/music/Kant"">Read more on Last.fm</a>",133846,1610831,Costa Gold
F.E.M," <a href=""https://www.last.fm/music/F.E.M"">Read more on Last.fm</a>",667,2565,Telikan
Jeremy Olander,"There’s a new kid on the block and he’s the first-ever disciple of one of the most celebrated dance music producers of all time; Eric Prydz.

The hugely talented up-and-comer, Jeremy Olander, is set to cause quite a storm in the world of dance music throughout the course of this year. Championed by Prydz as ’the next big thing’, a man with 3 top 2 records under his belt and countless underground hits, Jeremy is already booked to tour Europe supporting the label boss at every major festival and event in 2011.  <a href=""https://www.last.fm/music/Jeremy+Olander"">Read more on Last.fm</a>",68506,460387,Just Her
Le Youth,"Le Youth is a leading figure in the dance music scene. He has amassed over 350,000,000 streams on the back of a plethora of releases and remixes on some of the most respected labels in the genre. From Lane 8's This Never Happened to Anjunabeats, Armada Electronic Elements and many more, Le Youth continues to push the boundaries with each release.

Inspired by the deep and melodic sounds of Lane 8, Ben Böhmer, Sasha, and Eric Prydz, Le Youth has dedicated himself to crafting music that works in every setting; from chilled nights in <a href=""https://www.last.fm/music/Le+Youth"">Read more on Last.fm</a>",305803,2976271,Lane 8
Mat.Joe,"There are few things sweeter than a bowl of ice cream, but Berlin house duo Mat.Joe have emulated a sound and style every bit as delectable. Matze and Johannes, two young men with a Hip Hop and House affection based in Berlin. Their productions come to life in a Neukölln backyard where studio equipment and DJ decks meet desiccated plants. 
 
A natural development when music has become the top priority from dusk till dawn. Back in 2006, Rap, Breakdance <a href=""https://www.last.fm/music/Mat.Joe"">Read more on Last.fm</a>",72203,356342,Hot Since 82
L.GU.,"Hailing from Italy, L.GU. is a Progressive House music producer and DJ who debut in Colorize (Enhanced) with his first 3-tracks EP. His connection with music started from child age. After experimenting with a wide range of instruments during his entire young-life, when discovers electronic music, he decide to totally pursue this music-making. With a taste for rock vibes and dominating yet dramatic basslines, L.GU.'s music spans deep and emotionally-charged sounds. <a href=""https://www.last.fm/music/L.GU."">Read more on Last.fm</a>",11173,64522,djimboh
Walker & Royce,"New York City’s Sam Walker & Gavin Royce have been producing their emotive, subdued and groove-heavy house since 2011

Walker & Royce started when Sam and Gavin, having known each other in and out of the dance scene for years, finally began working together in 2011. Crosstown Rebels boss Damian Lazarus noticed one of their very first releases. The result was the Crosstown Rebels EP ""You're Not Welcome"" and with that, Walker & Royce was launched into the dance music spotlight. <a href=""https://www.last.fm/music/Walker+&+Royce"">Read more on Last.fm</a>",68669,480070,Anti Up
Rodg,"In a world jam-packed with one-hit-wonders, extremely consistent Dance producers have always been sought after. And that makes Rodg one of the rare-breed. The humble Dutchman is one of the best kept Armada Music secrets, delivering top notch releases of unwavering quality on a regular basis. An impressive string of features on various Armada compilations proved to be the stepping stone for Rodg's versatile and exhaustive sound, long defining the renowned chill-out vibe and portraying baffling interpretations of the sound of summer. <a href=""https://www.last.fm/music/Rodg"">Read more on Last.fm</a>",69049,670144,Beatsole
Cid,"GRAMMY Award winning CID (“Best Remixed Recording”) has garnered attention from industry veterans like Kaskade and Tiesto, with booked gigs spanning the globe – from Las Vegas to Barcelona. The Queens (New York) based DJ/producer is ready to stake his claim on the world of dance music.

As a young Carlos Cid his passion for music was evident early on at age 11, venturing on a city bus to traverse the boroughs of New York, just to spend his days scouring through new music at his favorite record shop. <a href=""https://www.last.fm/music/Cid"">Read more on Last.fm</a>",165984,1092571,Thomas Gold
Zone+,"Bahraini born, Music producer & DJ. His sound consists of deep melodic grooves layered with hypnotic, emotional beats making the crowd move yet fly through his soundscapes
https://soundcloud.com/zone-plus
https://www.facebook.com/zoneplusmusic/ <a href=""https://www.last.fm/music/Zone%252B"">Read more on Last.fm</a>",5252,22871,Newman (I Love)
Swanky Tunes,"Of all the exciting new electro sounds coming out of the East these days - Swanky Tunes ranks among the most noteworthy.

The group formed in 1998, experimenting with different electronic stylings in pursuit of their own sound. At first, there were techno sounds mixed with vintage synthesizers. Then the group moved into a distinctly big-beat influenced sound. These days, hints of the French-house scene, early Depeche Mode, electro-80's, and the contemporary electro-house movement are all finding their way into the mix. <a href=""https://www.last.fm/music/Swanky+Tunes"">Read more on Last.fm</a>",185712,1227600,Rompasso
Pete K," <a href=""https://www.last.fm/music/Pete+K"">Read more on Last.fm</a>",14529,78860,Dezza
Soela,"Elina Shorokhova, better known as Soela is a DJ and music producer from Novocherkassk, Russia, currently living in Berlin, Germany. It is there where she continues to build her presence in the community through her live and DJ sets alongside documenting the local scene and artists through her lens as a photographer. She is an experienced pianist and vocalist who has made a hugely successful transition into electronic music.
Creating music that doesn’t fit into a mold but is crafted from her own style <a href=""https://www.last.fm/music/Soela"">Read more on Last.fm</a>",8371,62923,Alex Albrecht pres. Melquíades
Nora En Pure,"At the core of Indie Dance and Deep House music, Swiss based Nora En Pure is on a quest to fulfil her need to arouse feelings of bliss and inject unconventional and serene sensations to be carried out into the world. The vivid South African has already proven to be quite productive, what resulted in deep and funky works of audible engineering for the label Enormous Tunes and Tokenish since 2009. Besides her passion for Africa, only music has been <a href=""https://www.last.fm/music/Nora+En+Pure"">Read more on Last.fm</a>",340120,4565733,Passenger 10
Fisherman,"There are multiple artists that perform under the name Fisherman:

1. A South Korean Producer & member of WYBH
2. A Dutch trance DJ & Producer <a href=""https://www.last.fm/music/Fisherman"">Read more on Last.fm</a>",34555,302696,Chan
Dustycloud,"What kind of sounds come to mind when you think of house music? Is it light and soulful, or do you find yourself leaning toward darker, tougher tones? If the latter is more your vibe, there’s a good chance you’ve probably heard of Parisian producer Dustycloud, a mainstay act on Tchami’s Confession label and one of the more talented artists within the increasingly dominant modern house music movement. Alongside the likes of Malaa, Dombresky, Mercer <a href=""https://www.last.fm/music/Dustycloud"">Read more on Last.fm</a>",50113,427813,Sqwad
Event Horizon,"1. Melbourne-based metalcore band

Michael Godding - Vocals
Ryan Matheson - Guitar/Vocals
Tavis Pirie - Guitar
Brenton Leech - Drums
Jayden Hawse - Bass/Vocals

2. Electronica band Event Horizon is a collaboration between Tristan Cooke (UK psychedelic trance producer and DJ) and John-Mark James. 

3. Progressive death metal band from California. <a href=""https://www.last.fm/music/Event+Horizon"">Read more on Last.fm</a>",9155,39556,Digital Mystery Tour
Will Easton," <a href=""https://www.last.fm/music/Will+Easton"">Read more on Last.fm</a>",13039,55374,Milad E
Re.You,"It’s been a meteoric rise for Marius Maier, better known simply as Re.You, his success in the electronic music scene a distant cry from shattered hoop dreams. Now firmly Berlin-based, his prolific release schedule continues unabated, the live show with Rampa going from strength to strength as well as DJ sets at clubs across the world.

As a teenager in Ulm, a sleepy town in southern Germany, Marius first began to appreciate the dark arts of beats through a love of DJ Premier’s dark and jazzy cuts. <a href=""https://www.last.fm/music/Re.You"">Read more on Last.fm</a>",16595,64237,David Mayer
Kasablanca,"https://twitter.com/wearekasablanca
https://www.instagram.com/kasablanca/ <a href=""https://www.last.fm/music/Kasablanca"">Read more on Last.fm</a>",47229,373730,Simon Doty
