canciones,artistas,género,tipo,año lanzamiento
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,Pop,track,2019
Beautiful People (feat. Khalid),Ed Sheeran,Pop,track,2019
sex money feelings die - slowed version,Lykke Li,Pop,track,2019
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,Pop,track,2019
Just Us (feat. SZA),DJ Khaled,Pop,track,2019
Outta My Head (with John Mayer),Khalid,Pop,track,2019
Canyon Moon,Harry Styles,Pop,track,2019
Prayed For You,Matt Stell,Pop,track,2019
FTA,Whitney,Pop,track,2019
You and I,LÉON,Pop,track,2019
A Thousand Bad Times,Post Malone,Pop,track,2019
You're the Only Good Thing In My Life,Cigarettes After Sex,Pop,track,2019
Love Talk - English Version,WayV,Pop,track,2019
When You Love Someone,James TW,Pop,track,2019
Slide Away,Miley Cyrus,Pop,track,2019
Graduation (with Juice WRLD),benny blanco,Pop,track,2019
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,Pop,track,2019
Écoute Chérie,Vendredi sur Mer,Pop,track,2019
GANG GANG,JACKBOYS,Pop,track,2019
Entregador de Flor - Ao Vivo em Brasília,Diego & Victor Hugo,Pop,track,2019
Dinner & Diatribes,Hozier,Pop,track,2019
Good to Be Bad,Dove Cameron,Pop,track,2019
In My Bed,Rotimi,Pop,track,2019
For You (With Rita Ora),Liam Payne,Pop,track,2019
To Be So Lonely,Harry Styles,Pop,track,2019
Psycho,Red Velvet,Pop,track,2019
Only,NF,Pop,track,2019
Tears of Gold,Faouzia,Pop,track,2019
The greatest,Lana Del Rey,Pop,track,2019
Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,Pop,track,2019
North,Clairo,Pop,track,2019
Who Do You Love,The Chainsmokers,Pop,track,2019
Pretty Heart,Parker McCollum,Pop,track,2019
Bossa No Sé (feat. Jean Carter),Cuco,Pop,track,2019
Falling Like The Stars,James Arthur,Pop,track,2019
Birch Tree,Strawberry Guy,Pop,track,2019
That's Why I Love You,SiR,Pop,track,2019
My Stress,NF,Pop,track,2019
wave,wave to earth,Pop,track,2019
THAT BITCH,Bea Miller,Pop,track,2019
The Search - Edit,NF,Pop,track,2019
Good Thing (with Kehlani),Zedd,Pop,track,2019
Say It,Maggie Rogers,Pop,track,2019
Leave Me Alone,NF,Pop,track,2019
