artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Bassboy,United Kingdom,no data,1988-11-24,activo
Galantis,Sweden,Stockholm,2012-03-01,activo
Karen Rose,United States,no data,no data,activo
Chris Rea,United Kingdom,Middlesbrough,1951-03-04,activo
Claude VonStroke,United States,Cleveland,1971-07-07,activo
Francis Poulenc,France,Paris,1899-01-07,activo
Jerome Isma‐Ae,Houston,München,no data,activo
Fox Stevenson,United Kingdom,Leeds,1993-01-25,activo
Henry Purcell,United Kingdom,Westminster,1659-09-10,activo
Wax Motif,United States,Australia,1984-11-20,activo
VINAI,Lombardia,Brescia,2013,activo
Yves Montand,France,Monsummano Terme,1921-10-13,activo
Polar Inc.,no data,no data,no data,activo
DJ Goja,București,no data,no data,activo
Martin Garrix,Netherlands,Amstelveen,1996-05-15,activo
Party Favor,Los Angeles,no data,no data,activo
DM 90,no data,no data,no data,activo
HUGEL,France,France,1987-12-04,activo
DJ BoBo,Switzerland,Kölliken,1968-01-05,activo
Parra for Cuva,Germany,Northeim,1991-08-27,activo
Yolanda Be Cool,Australia,no data,2009,activo
Chris Lake,United Kingdom,Aberdeen,1982-08-08,activo
Michael Calfan,no data,no data,no data,activo
Disko Junkie,no data,no data,no data,activo
Don Diablo,Netherlands,Coevorden,1980-02-27,activo
George Jones,United States,Saratoga,1931-09-12,activo
Massane,France,Toulon,no data,activo
Bingo Players,Netherlands,Netherlands,2006,activo
Regard,New York,no data,1993,activo
EDX,Zurich,Zurich,1976-11-02,activo
Dimitri Vegas & Like Mike,Belgium,Willebroek,2007,activo
Steve Aoki,United States,Miami,1977-11-30,activo
Fukkk Offf,no data,no data,no data,activo
Technotronic,Belgium,Aalst,1988,activo
Patti Page,United States,Claremore,1927-11-08,activo
Endor,United Kingdom,Brighton,no data,activo
Eddie Meduza,Sweden,Gothenburg,1948-06-17,activo
Salem,Israel,Tel Aviv,1985,activo
Adriatique,Zurich,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Bad Religion,United States,Los Angeles,1980,activo
Agoria,France,Valencin,1976-01-16,activo
DVBBS,Canada,Orangeville,no data,activo
Lane 8,United States,no data,no data,activo
Robbie Rivera,United States,San Juan,1973-08-07,activo
Habstrakt,France,no data,1990-03-28,activo
A‐Trak,Canada,Montréal,1982-03-30,activo
Aexcit,Nürnberg,no data,2014-11-05,activo
