Artista,Biografia,Listeners,Playcount,Artistas Similares
Marco Lys,"If you’ve been anywhere near an electronic music event in the past few years, the likelihood is that at least one point during the evening you will have been moving to the hypnotic sounds of Marco Lys.

Born and raised in Italy’s legendary Venice, Marco Lys’s reputation has been forged on endless days in the studio perfecting his unique sound of tech tinged house, and demand for his sound has continued to grow with every piece of production that he works his magic on. <a href=""https://www.last.fm/music/Marco+Lys"">Read more on Last.fm</a>",20895,79096,Vakabular
Grum,"Real Name: Graeme Shepherd.

Scottish Electro/ Disco House/ French Pop artist from Leeds, UK.

His debut album 'Heartbeats' was released on 17 May 2010 on Heartbeats Music. This was preceded by the lead single ""Can't Shake This Feeling"" on 7 May 2010.

He has also released EPs titled Runaway, Heartbeats and Sound Reaction.

He names his main influences as The Human League and Daft Punk.

Shepherd grew up in Linlithgow, near Edinburgh and then moved to Leeds in 2004 to study a Music Technology course in nearby Huddersfield. <a href=""https://www.last.fm/music/Grum"">Read more on Last.fm</a>",231891,3143708,Pryda
joseph ray,"joseph ray is a deep house  artist from the UK <a href=""https://www.last.fm/music/joseph+ray"">Read more on Last.fm</a>",18658,141073,Marsh
Kry Wolf,"Terrapin DJ/Producer from London. releases primarily on Sounds of Sumo <a href=""https://www.last.fm/music/Kry+Wolf"">Read more on Last.fm</a>",10044,36403,Mak & Pasteman
Honey & Badger,"Honey & Badger is a Belgian DJ & Producer who keeps making waves since he was noticed by Tchami in 2018. Fidget, bass and groovy vibes combined with his tracks’ names referring to Belgium’s dopest goods demonstrate his devotion to both house music and his country.

His latest releases such as ‘Ket Down’ ‘Sketter’, ‘Aerschot’ or his infamous ‘Grand Place III EP’ showcase the wide variety of his productions and confirms his position as new trendsetter of Tchami, Lost Frequencies and AC Slater’s labels. <a href=""https://www.last.fm/music/Honey+&+Badger"">Read more on Last.fm</a>",13427,65595,OOTORO
Victor Lou,"Authentic, consistent, atypical and unmistakable. These are the words that define an artist who has faced many challenges throughout his life. 

Victor Lou started his career in mid-2015 proposing his own style of sound, which today has become an international reference. Participating in social causes, he carried out some actions for the environment and food storage during the COVID-19 pandemic. Empathetic and aware of his relevance, Victor Lou insatiably seeks his evolution. <a href=""https://www.last.fm/music/Victor+Lou"">Read more on Last.fm</a>",34867,371784,Illusionize
Arty,"Artem Stolyarov, or Arty for short, is one of a rising breed of Russian trance producers now starting to make their mark on the scene.
The Moscow-based producer's tracks pop up all over the place, although it's probably with the succession of vinyl he's delivered on the Anjunabeats label that he's most closely associated.
He began his DJ career in 2009. This year, his clean, uplifting sound has made him new friends in both the pure trance and house fanbases <a href=""https://www.last.fm/music/Arty"">Read more on Last.fm</a>",393224,4711385,Alpha 9
Tim Mason,"Tim Mason: 
Facebook, Twitter, Youtube, Soundcloud

Appropriately titled debut single ‘The Moment’ captured the imaginations of dance floors around the world. What just happened? Who’s this record by?

After weeks of support from the likes of Swedish House Mafia, Tiesto, David Guetta, Chemical Brothers and Calvin Harris, label boss Steve Angello revealed that this track was in fact the first instalment from Tim Mason, a new artist he’d signed to his record label, Size Records. <a href=""https://www.last.fm/music/Tim+Mason"">Read more on Last.fm</a>",53439,222898,Jerome Isma-Ae
Jerome Sydenham,"Jerome Sydenham's illustrious music career took off in the late eighties when he joined the prestigious A & R division at Atlantic Records. During this time Jerome worked with mega stars, ranging from En Vogue to Ten City. His interest in the underground house scene was also burgeoning. In 1995 Sydenham formed the label Ibadan Records and his DJ career went international, producing records and touring with legends Joe Claussell and Kerri Chandler. <a href=""https://www.last.fm/music/Jerome+Sydenham"">Read more on Last.fm</a>",18502,63103,A. Mochi
Joshwa,"Joshua Maunder is a British musician who currently produces Electronic music under the name 'Joshwa'. Influenced by a blend of various genres of electronic music, retro gaming and progressive metal; sometimes using time signatures and ideas rarely referenced to the genre. <a href=""https://www.last.fm/music/Joshwa"">Read more on Last.fm</a>",86749,500411,Cloonee
Sebas Ramis," <a href=""https://www.last.fm/music/Sebas+Ramis"">Read more on Last.fm</a>",1600,5278,Sinan Kaya
Breger,"Goa based Breger, is not one to sit still. As co- founder of the music label Copycow and Beatplantation festival in Germany, he has spent the last 15 years in support of the underground culture.
Breger’s own style varies from minimal to savage techno and reflects his dark and groovy approach. His love for the psychedelic elements is evident in his productions and continues to inspire. Consistently exploring new sounds, Breger has a busy release schedule throughout 2019, in addition to worldwide bookings. <a href=""https://www.last.fm/music/Breger"">Read more on Last.fm</a>",4280,31112,xompax
Redlight,"Vnasakar hidden account 🤫 <a href=""https://www.last.fm/music/Redlight"">Read more on Last.fm</a>",177296,1257289,Stanton Warriors
Enzo Siragusa," <a href=""https://www.last.fm/music/Enzo+Siragusa"">Read more on Last.fm</a>",7056,26119,Archie Hamilton
Mike Griego," <a href=""https://www.last.fm/music/Mike+Griego"">Read more on Last.fm</a>",3568,18968,Bachir Salloum
